Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
DURRES,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13611|primary,Europe,,Albania,41.3,19.45,15,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
GJIROKASTRA,,	1950-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13625|primary,Europe,,Albania,40.0833333333,20.15,193,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
KORCA,,	1932-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13629|primary,Europe,,Albania,40.6,20.7666666667,889,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
KUKES,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13610|primary,Europe,,Albania,42.0333333333,20.4166666667,354,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
PESHKOPI,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13619|primary,Europe,,Albania,41.6833333333,20.4333333333,657,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
QYTETI STALIN,,	1962-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13624|primary,Europe,,Albania,40.8,19.9,32,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
SHKODRA,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13600|primary,Europe,,Albania,42.1,19.5333333333,43,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
TIRANA,,	1946-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13615|primary,Europe,,Albania,41.3333333333,19.7833333333,89,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);GSN;RBCN (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GSN:Operational, RBCN - deprecated:Closed, RBON:Operational",	2016-04-28,
TIRANA-LA PRAKA,,,,Operational,Operational,Land (fixed),0-20000-0-13601|primary,Europe,,Albania,41.3333333333,19.8,90,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
VLORE,,	1941-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-13622|primary,Europe,,Albania,40.4666666667,19.4833333333,1,,,The Hydrometeorological Institute [Albania],,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
